DEMREL07,DEMID07,DEMSN07,RELPCG07,RELOCG07,SIBIND07,CH07PRWT,CH07WT,PCGRES07,OCGRES07,ASMRES07,CHRES07,TDRES07,CCDRES07,IWER07,SBLNUM07,BIOPR07,BIOGPR07
2,3348,4,1,4,1,18.058001,20.825001,1,1,1,1,1,1,3048,1,1,0
2,7512,5,4,1,5,1.993,2.1960001,1,1,1,1,1,1,3022,2,1,0
2,7070,4,1,4,5,35.316002,38.417,1,1,1,1,1,1,3024,2,1,2
2,4670,3,1,4,5,33.41,36.897999,1,5,1,1,1,0,3004,96,1,2
2,1776,3,1,4,5,23.693001,27.104,1,1,1,1,1,1,3029,0,1,2
2,5177,3,1,4,1,37.543999,39.363998,1,1,1,1,1,1,3008,2,1,2
2,5913,3,1,4,5,24.48,26.211,1,1,1,1,1,1,3023,1,1,2
2,5177,5,1,4,1,36.894001,38.359001,1,1,1,1,1,1,3008,2,1,2
2,6411,4,1,13,5,30.747,35.633999,1,1,1,1,1,1,3048,1,1,0
2,5990,4,1,4,5,12.683,13.299,1,5,1,1,1,1,3048,3,1,2
2,7472,2,1,0,5,11.958,12.492,1,0,1,1,1,1,3031,3,2,2
2,5269,3,1,4,5,42.967999,45.624001,1,1,1,1,1,1,3010,1,1,2
2,8014,4,1,5,5,45.786999,48.998001,1,1,1,1,1,1,3001,2,2,2
2,7987,2,4,0,5,9.5450001,9.9429998,1,0,1,1,1,1,3035,0,3,2
2,3472,3,1,4,5,41.881001,44.93,1,1,1,1,1,1,3008,0,1,2
2,1400,3,1,4,5,20.187,22.295,1,1,1,1,1,1,3029,1,1,2
2,2407,3,1,4,1,19.621,21.454,1,1,1,1,1,1,3029,2,1,2
2,2407,4,1,4,1,19.424999,21.489,1,1,1,1,1,1,3029,2,1,2
2,2579,3,1,4,5,16.204,17.315001,1,5,1,1,1,1,3035,9,1,2
2,1279,3,1,5,1,46.547001,52.687,1,1,1,1,1,1,3038,2,2,2
2,5082,2,1,0,5,21.688999,0,1,0,5,5,5,5,3043,1,2,2
2,1279,4,1,5,1,45.758999,52.048,1,1,1,1,1,1,3038,2,2,2
2,4816,3,1,4,5,3.7119999,4.1409998,1,1,1,1,1,1,3041,1,1,2
2,1871,3,1,0,1,56.452999,61.137001,1,0,1,1,1,1,3002,3,2,2
2,1871,4,1,0,1,55.402,59.472,1,0,1,1,1,1,3002,3,2,2
2,860,3,1,4,5,36.091,37.819,1,5,1,1,1,1,3017,1,1,2
2,1484,3,3,6,5,15.378,16.042,1,1,1,1,1,1,3017,96,4,0
2,3628,3,4,0,5,36.193001,37.362999,1,0,1,1,1,1,3003,1,3,2
2,7710,4,1,4,5,27.761,31.945,1,1,1,1,1,1,3040,1,1,2
2,3698,3,1,4,5,16.473,18.153,1,1,1,1,1,0,3015,96,1,2
2,3425,3,1,4,5,21.587,25.156,1,1,1,1,1,1,3015,1,1,2
2,5916,3,1,4,1,17.298,18.525999,1,1,1,1,1,0,3003,2,1,2
2,5916,4,1,4,1,17.489,19.125,1,1,1,1,1,0,3003,2,1,2
2,3923,4,1,4,5,22.209,25.33,1,1,1,1,1,0,3042,1,1,0
2,773,4,1,4,5,32.490002,35.207001,1,1,1,1,1,0,3047,2,1,0
2,450,3,1,5,5,4.3909998,0,1,1,5,5,5,5,3049,2,2,2
2,7870,2,1,0,5,18.525,19.997,1,0,1,1,1,1,3026,1,2,2
2,7645,2,1,0,5,18.511999,20.617001,1,0,1,1,1,1,3037,1,2,2
2,845,5,1,7,5,39.494999,43.587002,1,1,1,1,1,1,3010,1,2,1
2,3500,3,1,4,5,19.705,20.941999,1,1,1,1,1,1,3043,96,1,2
2,4000,3,1,4,1,11.438,12.307,1,1,1,1,1,1,3043,1,1,2
2,4000,4,1,4,1,11.311,12.078,1,1,1,1,1,1,3043,1,1,2
2,1216,3,1,4,1,34.367001,35.32,1,1,1,1,1,0,3039,3,1,2
2,1216,4,1,4,1,34.519001,35.901001,1,1,1,1,1,0,3039,3,1,2
2,8227,3,1,0,1,14.663,15.299,1,0,1,1,1,1,3013,1,2,2
2,8227,4,1,0,1,14.51,15.197,1,0,1,1,1,1,3013,1,2,2
2,1671,2,1,0,5,48.007,49.963001,1,0,1,1,1,1,3035,0,2,2
2,5361,4,1,4,1,27.771999,30.097,1,1,1,1,1,1,3027,1,1,0
2,5361,3,1,4,1,28.645,32.268002,1,1,1,1,1,1,3027,1,1,0
2,3132,3,1,4,5,21.562,24.289,1,1,1,1,1,0,3027,9,1,0
2,1425,2,1,0,1,45.701,0,1,0,5,5,5,5,3039,2,2,2
2,1425,3,1,0,1,44.733002,0,1,0,5,5,5,5,3039,2,2,2
2,2982,3,1,4,1,21.466,24.612,1,5,1,1,1,1,3037,1,1,2
2,2982,4,1,4,1,21.298,24.650999,1,5,1,1,1,1,3037,1,1,2
2,1971,3,1,5,5,14.152,14.978,1,1,1,1,1,1,3012,1,2,2
2,907,3,1,0,5,19.035999,20.483,1,0,1,1,1,1,3029,1,2,0
2,4137,3,1,4,5,14.451,0,1,5,5,5,1,5,3038,96,1,2
2,5424,3,1,4,5,12.923,13.971,1,1,1,1,1,0,3003,0,1,2
2,1714,3,1,5,5,9.0050001,10.151,1,1,1,1,1,1,3033,2,2,2
