CHILDID07,CHILDSN07,PCGID07,PCGSN07,CDSHID07,PCGINST07,PCG68ID07,PCGPN07
2606,3,2606,1,386,1,846,6
2617,3,2617,1,387,1,5057,15
2651,3,2651,2,388,1,257,30
2668,3,2668,2,389,1,14,3
2668,4,2668,2,389,1,14,3
2669,4,2669,2,390,1,5801,30
2670,2,2670,1,391,1,1043,8
2670,3,2670,1,391,1,1043,8
2676,3,2676,2,392,1,2175,171
2676,4,2676,2,392,1,2175,171
2681,3,2681,2,393,1,2210,30
2681,4,2681,2,393,1,2210,30
2682,2,2682,1,394,1,5430,30
2682,3,2682,1,394,1,5430,30
2688,3,2688,2,395,1,5425,3
2688,4,2688,2,395,1,5425,3
2690,2,2690,1,396,1,5133,31
2690,3,2690,1,396,1,5133,31
2696,3,2696,2,397,1,3010,2
2708,3,2708,1,398,1,6664,177
2708,4,2708,1,398,1,6664,177
2714,2,2714,1,399,1,1571,30
2714,3,2714,1,399,1,1571,30
2721,3,2721,1,400,1,2409,171
2730,3,2730,2,401,1,6635,171
2738,4,2738,1,402,1,3117,1
2749,2,2749,1,403,1,5048,30
2749,4,2749,1,403,1,5048,30
2750,4,2750,2,404,1,2427,171
2753,4,2753,1,405,1,2432,35
2753,5,2753,1,405,1,2432,35
2763,5,2763,2,406,1,1258,172
2772,3,2772,2,407,1,1540,177
2774,3,2774,1,408,1,913,5
2784,5,2784,2,409,1,2615,7
2792,3,2792,2,410,1,2835,4
2792,4,2792,2,410,1,2835,4
2795,3,2795,2,411,1,432,172
2798,3,2798,2,412,1,5443,7
2813,4,2813,2,413,1,1407,172
2814,3,2814,2,414,1,2030,175
2816,3,2816,2,415,1,5458,3
2826,2,2826,1,416,1,433,8
2831,2,2831,1,417,1,22,173
2844,4,2844,2,418,1,1522,10
2844,5,2844,2,418,1,1522,10
2845,2,2845,1,419,1,5366,32
2861,3,2861,2,420,1,2880,5
2861,4,2861,2,420,1,2880,5
2862,2,2862,1,421,1,5363,30
2864,4,2864,2,422,1,1613,7
2864,5,2864,2,422,1,1613,7
2882,4,2882,2,423,1,2672,5
2886,3,2886,2,424,1,121,7
2888,2,2888,1,425,1,99,171
2888,3,2888,1,425,1,99,171
2896,2,2896,1,426,1,2688,31
2900,3,2900,2,427,1,717,176
2902,3,2902,2,428,1,1258,3
2902,4,2902,2,428,1,1258,3
2904,3,2904,1,429,1,2799,5
2904,4,2904,1,429,1,2799,5
