GENREL07,GENID07,GENSN07,CH07_ID,CH07_PN,PCG07_ID,PCG07_PN,OCG07_ID,OCG07_PN
4,1868,3,195,30,195,170,195,171
4,1868,4,195,31,195,170,195,171
4,1871,3,633,41,633,30,0,0
4,1871,4,633,42,633,30,0,0
4,1876,4,5292,43,5292,32,5292,7
4,1883,4,452,37,452,177,452,31
4,1884,4,1242,36,1242,176,1242,4
4,1886,2,5871,30,5871,172,0,0
4,1898,2,1167,44,1167,30,0,0
4,1898,3,1167,45,1167,30,0,0
4,1909,2,5539,191,5539,188,0,0
4,1915,3,1434,35,1434,32,1434,170
4,1916,2,2867,32,2867,31,2867,3
4,1938,4,433,38,433,175,433,30
4,1938,5,433,40,433,175,433,30
4,1942,3,2847,40,2847,31,2847,176
4,1944,4,769,37,769,173,769,1
4,1951,3,1947,31,1947,171,1947,4
4,1951,4,1947,32,1947,171,1947,4
4,1956,4,750,34,750,174,750,30
4,1971,3,709,40,709,34,709,192
4,1982,4,2530,38,2530,4,2530,181
4,1983,2,5537,180,5537,3,0,0
4,1984,3,6112,36,6112,173,6112,200
4,1984,4,6112,35,6112,173,6112,200
4,1990,3,2053,33,2053,4,2053,174
4,1992,3,2869,31,2869,30,2869,170
4,1994,3,5539,39,5539,6,5539,36
4,2032,3,1383,37,1383,174,1383,31
4,2032,4,1383,40,1383,174,1383,31
4,2037,3,1867,34,1867,3,1867,170
4,2040,3,5142,35,5142,4,5142,174
4,2044,3,1784,33,1784,5,1784,171
4,2044,5,1784,35,1784,5,1784,171
4,2053,3,856,35,856,5,856,175
4,2053,4,856,38,856,5,856,175
4,2054,4,2353,35,2353,171,2353,3
4,2056,3,5900,37,5900,5,5900,173
4,2061,4,355,33,355,171,355,4
4,2062,4,5683,43,5683,8,5683,39
4,2064,2,172,36,172,34,0,0
4,2065,2,5170,41,5170,30,0,0
4,2067,3,5897,32,5897,5,5897,170
4,2069,4,2095,33,2095,177,2095,4
4,2078,3,3109,3,3109,2,3109,1
4,2087,3,5463,44,5463,5,5463,184
4,2093,4,2196,34,2196,30,2196,175
4,2093,5,2196,35,2196,30,2196,175
4,2102,2,6166,179,6166,14,0,0
4,2105,4,2109,31,2109,2,2109,174
4,2109,3,2464,32,2464,171,2464,173
4,2112,3,6736,40,6736,184,6736,190
4,2114,6,5547,40,5547,9,0,0
4,2114,7,5547,41,5547,9,0,0
4,2116,2,2238,37,2238,172,0,0
4,2139,3,961,37,961,3,961,175
