HBCREL97,HBCID97,HBCSN97,RELSHIP,Q11A1M,Q11A1D,Q11A1Y,Q11A2M,Q11A3,Q11A4,Q11A5M,Q11A6,Q11A7,Q11A8,Q11A9,Q11A10,Q11A11A,Q11A11B,Q11A11C,Q11A11D,Q11A11E,Q11A11F,Q11A11G,Q11A11H,Q11A11I,Q11A11J,Q11A11K,Q11A11L,Q11A11M,Q11A11N,Q11A11O,Q11A11P,Q11A11Q,Q11A11R,Q11A11S,Q11A11T,Q11A11U,Q11A11V,Q11A11W,Q11A11X,Q11A11Y,Q11A11Z,Q11A11AA,Q11A11BB,Q11A11CC,Q11A12,Q11A13,Q11A14,Q11A14A,Q11A15A,Q11A15B,Q11A15C,Q11A15D,Q11A15E,Q11A15F,Q11A15G,Q11A16A,Q11A16B,Q11A16C,Q11A16D,Q11A16E,Q11A16F,Q11A17,Q11A18,Q11A19,Q11A20,Q11A21,Q11A21A,Q11A21B,Q11A21C,Q11A21D,Q11A21E,Q11A22,Q11A23N,Q11A24,Q11A24A,Q11A24B,Q11A25,Q11A25A,Q11A25B,Q11A25C,Q11A26,Q11A27,Q11A28,Q11A29,Q11A30,Q11A31,Q11A32,Q11A32AA,Q11A32AB,Q11A32AC,Q11A32AD,Q11A32AE,Q11A32AF,Q11A32AG,Q11A33,Q11A34,Q11A35,Q11A37,Q11A38,Q11A39A,Q11A39B,Q11A39C,Q11A39D,Q11A39E,Q11A39F,Q11A39G,Q11A39H,Q11A39I,Q11A40A,Q11A40B,Q11A40C,Q11A40D,Q11A40E,Q11A40F,Q11A40G,Q11A41A,Q11A41B,Q11A41C,Q11A41D,Q11A41E,Q11A42,Q11B1M,Q11B1D,Q11B1Y,Q11B2
3,2375,4,4,5,28,1997,24,5,30,120,0,5,1,2,2,2,3,3,3,3,2,2,3,2,2,2,2,3,2,2,1,2,2,3,3,2,2,2,1,2,3,2,3,3,8,1,1,5,1,0,2,0,2,2,0,5,0,2,0,0,0,25200,68400,52,3,1,1,1,1,5,5,1,99,1.5,1,1,1,1,4,0,1,1,1,5,2,2,3,0,0,0,0,0,0,3,1,1965,5,2,1,5,1,5,1,1,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,9,22000,5,28,1997,3
3,2375,3,4,5,28,1997,48,5,30,120,0,5,1,2,2,2,2,2,3,2,2,3,3,3,2,2,2,3,3,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,8,1,1,5,1,0,2,0,2,2,0,5,0,2,0,0,0,25200,68400,52,3,1,1,1,1,5,5,1,99,1.5,1,1,1,1,4,0,1,1,1,5,2,2,3,0,0,0,0,0,0,3,1,1965,5,2,1,5,1,5,1,1,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,9,22000,5,28,1997,3
3,573,4,4,3,27,1997,99,3,27,84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,5,0,0,2,0,2,2,0,6,0,0,0,0,0,27000,63000,51,1,1,1,1,1,5,5,1,6,295,5,1,5,0,0,0,2,1,5,5,2,1,2,0,0,0,1,0,0,1,1,1961,5,7,1,1,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,1,5,5,99999,3,28,1997,9
3,1476,3,4,10,7,1997,2,4,9,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,30,9,9,9,9,99,9,9,9,0,0,0,0,0,23400,64800,51,1,1,1,1,1,5,5,1,99,1.85,1,1,5,0,0,0,7,5,5,5,2,1,2,0,0,1,0,1,0,0,1,1971,5,2,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10800,10,8,1997,3
3,1636,5,4,99,99,9999,36,5,35,999,11,5,1,2,2,2,3,3,3,3,2,1,3,2,3,2,2,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,7,1,9,9,0,2,0,1,3,1,0,7,0,0,0,0,0,21600,64800,52,9,1,1,1,1,5,5,1,0,5,5,9,5,0,0,0,9,9,9,9,2,9,9,9,9,9,9,9,9,99,1,1944,5,3,9,9,9,9,9,9,9,9,9,9,5,5,5,5,5,5,5,5,5,5,5,5,99999,5,5,1997,1
3,5534,3,4,11,12,1997,21,3,8.5,204,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,0,1,2,0,1,0,0,4,0,0,0,0,0,23700,63000,51,1,5,0,0,0,0,0,0,0,14,2,1,5,0,0,0,1,5,5,5,2,1,0,0,0,0,0,0,0,0,1,1950,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,99999,11,12,1997,3
3,4777,3,4,6,5,1997,3,4,40,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0,0,1,0,3,0,0,0,0,0,27000,64800,52,1,1,1,1,1,5,5,5,99,150,3,1,5,0,0,0,1,1,1,1,2,1,2,0,1,0,0,0,1,0,1,1967,5,3,1,5,1,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,99999,6,6,1997,5
3,442,2,4,5,29,1997,60,5,55,120,0,5,1,1,2,3,3,3,3,2,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,5,1,1,7,0,0,0,1,0,4,0,5,0,0,0,0,0,21600,64800,51,1,1,1,1,1,5,5,5,99,65,3,9,5,0,0,0,3,5,5,5,2,1,0,0,0,0,0,0,0,0,1,1948,5,2,5,5,1,5,1,5,1,1,5,9,5,5,5,5,5,5,5,5,5,5,5,5,14000,5,99,1997,3
3,2618,5,4,4,29,1997,8,3.5,14,24,2,5,1,1,1,2,3,3,2,3,2,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,23400,81000,52,1,1,1,1,1,1,5,5,99,2.5,1,1,5,0,0,0,3,5,5,9,2,1,2,0,0,0,1,0,0,1,1,1960,5,5,1,5,5,1,1,1,1,1,5,9,5,1,5,5,5,5,5,5,5,5,5,9,897,4,29,1997,2
3,2024,4,4,4,11,1997,31,2,19,108,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,9,9,9,9,9,9,9,99,9,9,99,99,9,9,9,9,99999,99999,99,9,9,9,9,9,9,9,9,99,999,9,9,9,99,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,9,9999,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99999,4,11,1997,5
