CHILDID97,CHILDSN97,PCGID97,PCGSN97,CDSHID97,PCGINST97
2332,3,2332,2,562,1
2339,5,2339,2,563,1
2344,3,2344,2,564,1
2344,4,2344,2,564,1
2349,3,2349,2,565,1
2354,2,2354,1,566,1
2360,4,2360,2,567,1
2366,3,2366,2,568,1
2367,3,2367,2,569,1
2368,3,2368,2,570,1
2372,4,2372,2,571,1
2372,5,2372,2,571,1
2387,2,2387,1,572,1
2387,3,2387,1,572,1
2390,6,2390,4,573,1
2390,7,2390,4,573,1
2392,2,2392,1,574,1
2395,3,2395,2,575,1
2395,4,2395,2,575,1
2403,3,2403,2,576,1
2408,3,2408,1,577,1
2408,4,2408,1,577,1
2411,2,2411,1,578,1
2420,2,2420,1,579,1
2420,3,2420,1,579,1
2421,3,2421,2,580,1
2422,3,2422,2,581,1
2426,3,2426,2,582,1
2427,3,2427,2,583,1
2439,3,2439,2,584,1
2442,3,2442,2,585,1
2442,4,2442,2,585,1
2444,5,2444,2,586,1
2444,6,2444,3,586,2
2446,2,2446,1,587,1
2448,3,2448,2,588,1
2450,3,2450,2,589,1
2450,7,2450,2,589,1
2460,3,2460,2,590,1
2460,4,2460,2,590,1
2464,3,2464,2,591,1
2464,4,2464,2,591,1
2470,3,2470,2,592,1
2475,3,2475,2,593,1
2475,4,2475,2,593,1
2479,4,2479,2,594,1
2482,5,2482,1,595,1
2482,6,2482,1,595,1
2486,3,2486,2,596,1
2488,4,2488,2,597,1
2493,3,2493,1,598,1
2493,4,2493,1,598,1
2494,3,2494,1,599,1
2520,3,2520,2,600,1
2520,4,2520,2,600,1
2525,4,2525,1,601,1
2525,6,2525,1,601,1
2531,3,2531,1,602,1
2531,4,2531,1,602,1
2536,3,2536,2,603,1
2537,3,2537,2,604,1
2542,3,2542,1,605,1
2548,3,2548,2,606,1
2554,3,2554,2,607,1
2558,3,2558,2,608,1
2558,4,2558,2,608,1
2561,2,2561,1,609,1
2562,3,2562,2,610,1
2562,4,2562,2,610,1
2570,5,2570,2,611,1
2572,3,2572,2,612,1
2572,4,2572,2,612,1
2574,3,2574,2,613,1
2574,4,2574,2,613,1
2576,4,2576,2,614,1
2578,2,2578,1,615,1
2588,3,2588,1,616,1
2597,3,2597,1,617,1
2597,4,2597,1,617,1
2599,3,2599,2,618,1
2608,3,2608,2,619,1
2608,4,2608,2,619,1
2618,5,2618,1,620,1
2631,4,2631,2,621,1
2632,3,2632,2,622,1
2635,4,2635,2,623,1
2639,3,2639,2,624,1
2645,3,2645,2,625,1
2663,5,2663,2,626,1
2663,6,2663,2,626,1
2664,3,2664,2,627,1
2667,3,2667,2,628,1
2675,3,2675,2,629,1
2675,4,2675,2,629,1
2676,3,2676,2,630,1
2685,5,2685,2,631,1
2687,2,2687,1,632,1
2694,3,2694,2,633,1
2696,2,2696,1,634,1
2704,2,2704,1,635,1
2708,4,2708,2,636,1
2715,3,2715,2,637,1
2715,4,2715,2,637,1
2718,3,2718,1,638,1
2718,4,2718,2,638,2
2719,3,2719,2,639,1
2726,3,2726,1,640,1
2732,3,2732,2,641,1
2732,4,2732,2,641,1
2736,3,2736,2,642,1
2738,5,2738,2,643,1
2745,3,2745,2,644,1
2752,2,2752,1,645,1
2754,3,2754,2,646,1
2754,4,2754,2,646,1
2755,3,2755,2,647,1
2756,3,2756,2,648,1
2761,3,2761,2,649,1
2761,4,2761,2,649,1
2762,3,2762,2,650,1
2771,4,2771,2,651,1
2782,2,2782,1,652,1
2783,3,2783,2,653,1
2783,5,2783,2,653,1
2785,2,2785,1,654,1
2793,3,2793,2,655,1
2798,5,2798,2,656,1
2804,4,2804,2,657,1
2804,5,2804,2,657,1
2814,3,2814,2,658,1
2814,4,2814,2,658,1
2817,3,2817,2,659,1
2819,4,2819,2,660,1
2819,5,2819,2,660,1
2826,3,2826,2,661,1
2830,3,2830,2,662,1
2833,5,2833,2,663,1
2834,2,2834,1,664,1
2834,4,2834,1,664,1
2837,4,2837,2,665,1
2837,5,2837,2,665,1
2838,3,2838,2,666,1
2838,6,2838,2,666,1
2848,2,2848,1,667,1
2849,6,2849,2,668,1
2849,7,2849,2,668,1
2850,5,2850,2,669,1
2852,4,2852,2,670,1
2852,5,2852,2,670,1
2854,4,2854,2,671,1
2857,3,2857,1,672,1
2862,3,2862,1,673,1
2867,3,2867,2,674,1
2867,4,2867,2,674,1
