DEMREL97,DEMID97,DEMSN97,CHRACE,CHIWMON,CHIWDAY,CHIWYR,AGEATCH,AGEATPCG,PCGIWMON,PCGIWDAY,PCGIWYR,HOMESCHL,NEWIMMI,PCG,OCG,RELPCG97,RELOCG97,CH97PRWT,CH97HHWT,PCGHHBWT,OCGCHBWT,OCGHHBWT,SUBSELWT,SBLNUM97,BIOPR97,BIOGPR97
6,4894,3,1,0,0,0,0,24.5,5,1,1997,5,5,1,1,1,4,18.739,18.739,28.021999,32.143002,32.494999,1,0,1,2
6,1644,3,1,0,0,0,0,107.2,11,7,1997,5,5,1,4,1,0,53.584999,53.584999,0,0,0,1,1,2,0
6,1778,3,1,6,7,1997,75.199997,75.199997,6,7,1997,5,5,1,1,1,5,9.3859997,9.3859997,12.619,15.301,15.265,1,1,2,2
6,1778,4,1,6,7,1997,61.099998,61.099998,6,7,1997,5,5,1,1,1,5,9.3859997,9.3859997,12.619,15.301,15.265,1,1,2,2
6,2857,3,1,4,5,1997,152,152,4,5,1997,5,5,2,0,4,0,25.048,25.048,38.043999,0,0,1,2,3,0
6,2664,3,1,10,1,1997,95.800003,95.800003,10,1,1997,5,5,1,1,1,4,22.070999,22.070999,30.232,40.266998,41,1,0,1,2
6,1158,3,1,4,17,1997,98.699997,99.099998,4,29,1997,5,5,1,1,1,4,24.481001,16.320999,34.860001,44.869999,43.224998,1.5,2,1,2
6,1158,5,1,0,0,0,0,18.1,4,29,1997,5,5,1,1,1,4,24.481001,16.320999,34.860001,44.869999,43.224998,1.5,2,1,2
6,2507,2,1,0,0,0,0,135.39999,9,6,1997,5,5,1,0,1,0,20.895,20.895,0,0,0,1,0,2,2
6,4021,4,7,5,13,1997,153.39999,152.8,4,25,1997,5,5,1,0,1,0,73.963997,73.963997,104.469,0,0,1,2,2,0
6,745,3,1,4,19,1997,79.900002,79.900002,4,19,1997,5,5,1,1,1,4,12.094,12.094,17.01,18.711,20.648001,1,0,1,0
6,4720,3,1,6,20,1997,45.799999,45.799999,6,20,1997,5,5,1,1,1,4,24.173,24.173,39.696999,48.372002,43.481998,1,0,1,2
6,1570,4,1,0,0,0,0,143.10001,3,26,1997,5,5,1,1,1,4,46.252998,46.252998,66.031998,69.443001,66.893997,1,1,1,2
6,2116,3,1,0,0,0,0,78.5,4,24,1997,5,5,1,1,1,4,15.253,15.253,21.719999,27.955999,26.931,1,0,1,2
6,3183,3,1,0,0,0,0,15,6,12,1997,5,5,1,1,1,0,15.657,15.657,0,0,0,1,0,1,2
6,308,5,2,4,16,1997,131.60001,131.60001,4,16,1997,5,5,1,1,1,4,18.851,18.851,22.475,30.247,32.011002,1,2,1,0
6,266,4,1,3,27,1997,153.60001,153.60001,3,27,1997,5,5,1,1,1,4,15.045,15.045,23.298,23.987,25.594,1,1,1,2
6,833,3,1,4,20,1997,134.60001,133.60001,3,20,1997,5,5,2,4,4,15,6.9499998,6.9499998,12.067,11.929,12.884,1,96,3,2
6,104,2,1,5,27,1997,50.599998,50.599998,5,27,1997,5,5,1,0,1,0,30.294001,30.294001,52.602001,0,0,1,96,2,2
6,4453,2,1,10,13,1997,103.8,104,10,20,1997,5,5,1,0,1,0,12.122,8.0810003,17.049,0,0,1.5,2,2,2
6,4453,4,1,10,13,1997,44.400002,44.400002,10,13,1997,5,5,1,0,1,0,12.122,8.0810003,17.049,0,0,1.5,2,2,2
6,3271,3,3,0,0,0,0,40.700001,4,20,1998,5,5,1,1,1,0,12.02,12.02,0,0,0,1,0,1,2
6,1597,3,1,4,9,1997,53.400002,53.400002,4,9,1997,5,5,1,1,1,4,10.923,10.923,15.394,17.695,18.271,1,0,1,0
6,2858,3,1,0,0,0,0,153,10,30,1997,5,5,1,1,1,0,15.559,15.559,0,0,0,1,1,1,0
6,2858,4,1,0,0,0,0,137.10001,10,30,1997,5,5,1,1,1,0,15.559,15.559,0,0,0,1,1,1,0
6,3748,3,1,0,0,0,0,27,4,24,1998,5,5,1,1,1,0,17.280001,17.280001,0,0,0,1,0,1,0
6,5755,3,1,9,29,1997,157.89999,157.89999,9,29,1997,5,5,1,1,1,4,10.538,10.538,17.827999,17.966999,20.875999,1,0,1,0
6,3095,3,1,5,3,1997,137.3,137.3,5,3,1997,5,5,1,1,1,4,24.327,24.327,36.377998,41.728001,42.186001,1,1,1,2
6,3095,4,1,5,3,1997,70.900002,70.900002,5,3,1997,5,5,1,1,1,4,24.327,24.327,36.377998,41.728001,42.186001,1,1,1,2
6,4264,3,1,9,17,1997,59.200001,59.200001,9,17,1997,5,5,1,1,1,4,18.767,18.767,25.23,30.591999,30.521999,1,1,1,2
6,4264,4,1,0,0,0,0,35.200001,9,17,1997,5,5,1,1,1,4,18.767,18.767,25.23,30.591999,30.521999,1,1,1,2
6,3068,4,7,4,1,1997,127,127.1,4,5,1997,5,5,1,1,1,4,18.084999,18.084999,25.436001,27.98,30.875,1,1,1,2
6,3711,3,1,5,7,1997,129.7,129.7,5,7,1997,5,5,1,1,1,4,17.194,17.194,26.625999,27.414,29.250999,1,1,1,2
6,3711,4,1,5,7,1997,96.800003,96.800003,5,7,1997,5,5,1,1,1,4,17.194,17.194,26.625999,27.414,29.250999,1,1,1,2
6,1115,4,1,3,31,1997,149.7,149.60001,3,26,1997,5,5,1,1,1,4,19,19,29.424,30.294001,32.324001,1,1,1,0
6,1362,3,1,5,19,1997,74.599998,74.599998,5,19,1997,5,5,1,1,1,4,47.075001,47.075001,77.648003,85.328003,87.135002,1,1,1,0
6,1362,4,1,0,0,0,0,25.700001,5,19,1997,5,5,1,1,1,4,47.075001,47.075001,77.648003,85.328003,87.135002,1,1,1,0
6,3267,3,1,5,30,1997,121.7,122.3,6,18,1997,5,5,1,1,1,4,17.681999,17.681999,26.856001,32.191002,35.244999,1,0,1,2
6,468,3,1,3,23,1997,139.39999,139.39999,3,23,1997,5,5,1,1,2,4,5.8930001,5.8930001,9.125,9.3950005,10.025,1,0,3,0
6,2930,3,1,4,14,1997,48.700001,48.799999,4,16,1997,5,5,1,1,1,0,16.138,16.138,0,0,0,1,0,1,2
6,1802,4,1,4,14,1997,153.39999,153.39999,4,14,1997,5,5,1,1,1,0,14.44,14.44,22.361,0,0,1,1,1,0
6,3180,5,1,0,0,0,0,106.1,4,22,1997,5,5,1,1,1,4,8.4919996,8.4919996,14.006,15.392,15.717,1,3,1,0
6,3180,6,1,0,0,0,0,126.3,4,22,1997,5,5,1,1,1,4,8.4919996,8.4919996,14.006,15.392,15.717,1,3,1,0
6,1046,3,1,3,22,1997,76.699997,76.699997,3,22,1997,5,5,1,1,1,4,18.344999,18.344999,28.408001,29.247999,31.208,1,1,1,2
6,1046,4,1,3,22,1997,48,48.299999,4,2,1997,5,5,1,1,1,4,18.344999,18.344999,28.408001,29.247999,31.208,1,1,1,2
6,1863,3,1,0,0,0,0,17.200001,4,21,1997,5,5,1,1,1,0,22.822001,22.822001,0,0,0,1,0,1,2
