FUPREL97,FUPID97,FUPSN97,WEEKDAY,WDTDMON,WDTDDAY,WDTDYR,WDIWMON,WDIWDAY,WDIWYR,WD_DAY,WD_A1,WD_A2,WD_SAQ,WD_FTF,WD_PHONE,WEEKEND,WETDMON,WETDDAY,WETDYR,WEIWMON,WEIWDAY,WEIWYR,WE_DAY,WE_A1,WE_A2,WE_SAQ,WE_FTF,WE_PHONE
3,2116,3,1,4,28,1997,5,1,1997,1,2,1,1,5,1,1,4,20,1997,4,24,1997,7,2,1,1,5,1
3,3183,3,1,6,12,1997,6,12,1997,2,1,1,1,1,1,1,6,8,1997,6,12,1997,7,1,1,1,1,5
3,308,5,1,3,26,1997,99,99,9999,3,1,1,5,5,1,1,3,22,1997,99,99,9999,6,1,1,5,5,1
3,266,4,1,3,24,1997,3,27,1997,1,2,1,1,5,5,1,3,23,1997,3,27,1997,7,2,4,1,5,5
3,833,3,1,4,17,1997,4,20,1997,4,4,1,1,1,5,1,4,19,1997,4,20,1997,6,4,4,1,1,5
3,104,2,1,99,99,9999,5,27,1997,1,1,1,1,1,5,1,5,25,1997,5,27,1997,7,1,5,1,1,1
3,1597,3,1,4,7,1997,4,9,1997,1,1,1,1,1,5,1,4,5,1997,4,9,1997,6,1,3,1,1,5
3,5755,3,1,10,8,1997,10,8,1997,1,3,5,5,5,1,1,10,8,1997,10,8,1997,6,3,4,5,5,1
3,3095,3,1,4,29,1997,4,30,1997,2,1,2,1,5,1,1,99,99,9999,4,30,1997,7,9,9,1,5,1
3,3095,4,1,4,29,1997,4,30,1997,2,1,2,1,5,1,1,99,99,9999,4,30,1997,7,9,9,1,5,1
3,4264,3,1,9,17,1997,9,17,1997,4,1,1,5,5,1,1,9,20,1997,9,26,1997,6,1,1,5,1,5
3,4264,4,1,9,17,1997,9,17,1997,4,1,1,5,5,1,1,9,20,1997,99,99,9999,6,1,1,9,9,9
3,3068,4,1,3,26,1997,4,1,1997,3,2,2,5,1,5,1,3,29,1997,4,1,1997,6,3,4,5,1,5
3,3711,3,1,5,5,1997,5,7,1997,1,1,1,5,1,5,1,5,4,1997,5,7,1997,7,1,1,5,1,5
3,3711,4,1,5,5,1997,5,7,1997,1,1,1,5,1,5,1,5,4,1997,5,7,1997,7,1,1,5,1,5
