HCDREL97,HCDID97,HCDSN97,Q11T1,Q11COLA,Q11COLB,Q11COLC,Q11COLD,Q11COLF,Q11COLGA,Q11COLGB,Q11COLGC,Q11COLGD,Q11COLGE,Q11COLGF,Q11COLGG,Q11COLGH,Q11COLGI,Q11COLGJ,Q11COLGK,Q11COLHA,Q11COLHB,Q11COLHC,Q11COLHD,Q11COLHE,Q11COLHF,Q11COLHG,Q11COLHH,Q11COLHI,Q11COLHJ,Q11COLHK,Q11COLJ
2,432,3,4,864,35100,28800,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2,432,3,4,469,35400,28800,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,432,3,4,448,45000,28800,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,962
2,432,3,4,875,46800,28800,0,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
2,432,3,4,919,47700,28800,1,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,864
2,432,3,4,875,48600,28800,0,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,432,3,4,875,50400,28800,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,432,3,4,851,51300,28800,0,40,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2,432,3,4,876,53100,28800,0,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,962
2,432,3,4,821,55800,28800,0,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
2,432,3,4,448,57600,28800,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2,432,3,4,929,58500,28800,0,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
2,432,3,4,569,60000,28800,0,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,432,3,4,919,61200,28800,2,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1938,3,4,439,25200,28800,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1938,3,4,939,28800,28800,0,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
