ID_2001,SN_2001,weekly_avg_hrs_cat_3901,weekly_avg_hrs_cat_3902,weekly_avg_hrs_cat_3903,weekly_avg_hrs_cat_3904,weekly_avg_hrs_cat_3905,weekly_avg_hrs_cat_3906,weekly_avg_hrs_cat_3907,weekly_avg_hrs_cat_3908,weekly_avg_hrs_cat_3909,weekly_avg_hrs_cat_3910,weekly_avg_hrs_cat_3911,weekly_avg_hrs_cat_3912,weekly_avg_hrs_cat_3913,weekly_avg_hrs_cat_3914,weekly_avg_hrs_cat_3915,weekly_avg_hrs_cat_3916,weekly_avg_hrs_cat_3917,weekly_avg_hrs_cat_3918,weekly_avg_hrs_cat_3919,weekly_avg_hrs_cat_3920,weekly_avg_hrs_cat_3921,weekly_avg_hrs_cat_3922,weekly_avg_hrs_cat_3923,weekly_avg_hrs_cat_3924,weekly_avg_hrs_cat_3925,weekly_avg_hrs_cat_3926,weekly_avg_hrs_cat_3927,weekly_avg_hrs_cat_3928,weekly_avg_hrs_cat_3929,weekly_avg_hrs_cat_3930,weekly_avg_hrs_cat_3931,weekly_avg_hrs_cat_3932,weekly_avg_hrs_cat_3933,weekly_avg_hrs_cat_3934,weekly_avg_hrs_cat_3935,weekly_avg_hrs_cat_3936,weekly_avg_hrs_cat_3937,weekly_avg_hrs_cat_3938,weekly_avg_hrs_cat_3939,parent_interactive_skill_hrs_wk
190,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.5,0.0,1.5,1.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,12.916666666666666,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,4.0,12.333333333333334,0.0,0.0
190,4,0.0,1.75,0.0,1.0,0.0,0.0,0.0,0.0,90.0,0.0,2.75,1.0,22.083333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.75,0.5,14.833333333333334,13.833333333333334,0.0,0.0
216,3,0.0,0.0,0.0,5.0,0.0,0.0,8.0,4.0,81.75,0.0,5.5,0.0,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
218,3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,4.166666666666667,88.25,0.0,0.0,4.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,6.666666666666667,0.0,13.333333333333334,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,18.833333333333332,13.166666666666666,0.0,0.0
218,5,0.0,1.0,0.0,0.4166666666666667,0.0,0.0,0.0,4.166666666666667,87.91666666666667,0.0,0.0,0.8333333333333334,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,6.666666666666667,0.0,0.0,0.0,0.0,1.6666666666666667,2.5,0.0,0.0,3.3333333333333335,0.0,31.666666666666668,9.583333333333334,0.0,0.0
226,3,0.0,0.0,0.0,2.5,0.0,0.0,2.1,5.233333333333333,73.25,0.0,4.333333333333333,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.5,32.75,0.0,4.0
235,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.5,0.0,0.0,0.0,64.58333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,10.25,0.0,0.0
235,4,25.0,7.5,0.0,0.0,0.0,2.5,0.0,0.0,84.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27.5,0.0,0.0,0.0,0.0,0.0,3.0,16.833333333333332,0.0,0.0
243,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.916666666666664,0.0,0.0,0.0,28.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,63.333333333333336,0.0,0.0
260,3,0.0,3.25,0.0,1.8333333333333333,0.0,0.0,0.0,2.6666666666666665,77.08333333333333,0.0,4.25,0.0,25.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,11.25,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,25.75,0.0,0.0
