CHLDID02,CHLDSN02,PCGID02,PCGSN02,CDSHID02,PCGINST02,PCG68ID02,PCGPN02
1086,3,1086,2,214,1,6187,170
1093,3,1093,1,215,1,6839,9
1093,4,1093,1,215,1,6839,9
1096,3,1096,2,216,1,53,6
1098,3,1098,2,217,1,2469,4
1100,5,1100,2,218,1,833,176
1101,3,1101,1,219,1,3289,1
1107,4,1107,2,220,1,297,7
1111,4,1111,2,221,1,433,175
1111,5,1111,2,221,1,433,175
1112,3,775,1,139,1,517,3
1113,3,1113,2,222,1,5292,32
1113,4,1113,2,222,1,5292,32
1117,5,1117,2,223,1,173,4
1117,6,1117,2,223,1,173,4
1122,4,1122,2,224,1,1468,5
1122,5,1122,2,224,1,1468,5
1135,4,1135,2,225,1,774,2
1135,5,1135,2,225,1,774,2
1136,3,1136,2,226,1,361,175
1139,4,1139,2,227,1,2117,6
1143,4,1143,2,228,1,2603,5
1148,3,1148,2,229,1,2323,31
1148,4,1148,2,229,1,2323,31
1161,4,1161,1,230,1,53,10
1164,4,1164,2,231,1,2441,3
1169,2,1169,1,232,1,3308,2
1173,5,1173,2,233,1,607,174
1177,2,1177,1,234,1,6262,179
1178,3,1178,2,235,1,284,170
1178,4,1178,2,235,1,284,170
1180,3,1180,2,236,1,2682,5
1180,4,1180,2,236,1,2682,5
1182,3,1182,2,237,1,1142,3
1182,4,1182,2,237,1,1142,3
1184,3,1184,2,238,1,5570,203
1188,4,1188,2,239,1,1013,170
1189,3,1189,2,240,1,68,175
1191,3,1191,2,241,1,608,8
1195,3,1195,2,242,1,1775,6
1195,4,1195,2,242,1,1775,6
1200,3,1200,1,243,1,1909,1
1200,4,1200,1,243,1,1909,1
1204,5,1204,2,244,1,1918,4
1212,4,1212,2,245,1,999,170
1212,5,1212,2,245,1,999,170
1218,5,1218,2,246,1,1624,174
1222,3,1222,2,247,1,1867,3
1222,4,1222,2,247,1,1867,3
1232,3,1232,2,248,1,2012,31
1233,3,1233,2,249,1,2525,174
