GENREL02,GENID01,GENSN01,CH_ID68,CH_PN,OCG_ID68,OCG_PN,PCG_ID68,PCG_PN
3,1303,2,1460,30,0,0,1460,8
3,1309,3,2354,34,2354,174,2354,5
3,1309,4,2354,36,2354,174,2354,5
3,1313,3,6680,30,6680,171,6680,4
3,1318,2,5170,42,0,0,5170,7
3,1329,3,1612,30,1612,171,1612,170
3,1336,4,2164,39,2164,171,2164,3
3,1337,2,1376,32,0,0,1376,170
3,1339,2,5449,34,0,0,5449,31
3,1344,3,2591,35,2591,6,2591,178
3,1355,5,5925,41,5925,8,5925,170
3,1355,6,5925,176,5925,8,5925,170
3,1356,2,5287,34,0,0,5287,177
3,1363,3,2299,34,2299,5,2299,171
3,1363,4,2299,35,2299,5,2299,171
3,1364,3,1121,31,1121,176,1121,3
3,1372,3,2304,32,2304,171,2304,4
3,1372,4,2304,33,2304,171,2304,4
3,1378,2,1633,174,0,0,1633,170
3,1378,3,1633,175,0,0,1633,170
3,1383,3,819,33,819,3,819,172
3,1383,4,819,34,819,3,819,172
3,1385,3,2397,37,0,0,2397,173
3,1385,4,2397,38,0,0,2397,173
3,1388,4,1810,43,0,0,1810,3
3,1390,3,620,37,620,173,620,6
3,1390,4,620,39,620,173,620,6
3,1391,4,620,33,620,171,620,4
3,1391,5,620,35,620,171,620,4
3,1392,3,2530,37,2530,181,2530,4
3,1392,4,2530,38,2530,181,2530,4
3,1396,3,777,31,777,5,777,173
3,1398,3,5569,180,5569,3,5569,171
3,1398,4,5569,181,5569,3,5569,171
3,1404,3,6051,183,0,0,6051,3
3,1404,4,6051,185,0,0,6051,3
3,1407,3,6541,31,6541,4,6541,179
3,1408,2,5922,40,0,0,5922,192
3,1409,3,5774,32,5774,30,5774,170
3,1409,4,5774,33,5774,30,5774,170
3,1413,3,1192,33,1192,171,1192,3
3,1413,4,1192,35,1192,171,1192,3
3,1421,3,2515,40,2515,189,2515,30
3,1422,4,2352,31,2352,3,2352,170
3,1422,5,2352,32,2352,3,2352,170
3,1423,3,534,32,534,171,534,31
3,1425,3,2848,39,0,0,2848,10
3,1425,4,2848,40,0,0,2848,10
3,1428,4,452,37,452,31,452,177
3,1436,3,893,31,893,3,893,170
3,1436,4,893,32,893,3,893,170
3,1448,4,5,32,5,3,5,170
3,1449,3,45,32,45,178,45,179
3,1450,3,2509,37,2509,174,2509,6
3,1450,4,2509,42,2509,174,2509,6
3,1458,3,2880,30,2880,177,2880,5
3,1458,4,2880,31,2880,177,2880,5
3,1460,2,5995,33,0,0,5995,170
3,1460,4,5995,40,0,0,5995,170
3,1468,3,61,35,61,3,61,172
3,1469,3,89,35,89,179,89,31
3,1474,2,6822,173,0,0,6822,4
3,1484,4,2244,31,2244,21,2244,170
3,1486,2,2128,32,0,0,2128,171
3,1486,3,2128,33,0,0,2128,171
3,1487,4,173,36,173,171,173,5
3,1487,5,173,39,173,171,173,5
3,1490,2,2848,37,0,0,2848,176
3,1490,3,2848,179,0,0,2848,176
3,1491,3,2847,40,2847,176,2847,31
3,1493,3,1397,33,1397,4,1397,171
3,1493,5,1397,37,1397,4,1397,171
3,1500,2,1960,178,0,0,1960,177
3,1500,3,1960,179,0,0,1960,177
3,1508,3,266,35,266,173,266,30
3,1509,2,935,30,0,0,935,4
3,1509,3,935,34,0,0,935,4
3,1513,2,6381,178,0,0,6381,176
3,1513,3,6381,38,0,0,6381,176
3,1515,2,722,35,722,180,722,32
3,1522,2,5995,43,0,0,5995,5
3,1522,3,5995,34,0,0,5995,5
