TDFOREL,TDFOID01,TDFOSN01,Q28_WD,Q28_WE,Q28WDDAY,Q28WEDAY,Q28WDIWM,Q28WDIWD,Q28WDIWY,Q28WEIWM,Q28WEIWD,Q28WEIWY,Q28WDSAQ,Q28WESAQ,Q28WDFTF,Q28WEFTF,Q28WDTEL,Q28WETEL,Q28R_CH,Q28R_PCG,Q28WD_A1,Q28WE_A1,Q28WD_A2,Q28WE_A2,Q28WDA3M,Q28WDA3D,Q28WDA3Y,Q28WEA3M,Q28WEA3D,Q28WEA3Y,Q28WDA4M,Q28WDA4D,Q28WDA4Y,Q28WEA4M,Q28WEA4D,Q28WEA4Y,Q28WDA5,Q28WEA5,Q28WDA6,Q28WEA6,Q28WDA6A,Q28WEA6A,Q28WDA6B,Q28WEA6B,Q28WDA6C,Q28WEA6C,Q28WDA6D,Q28WEA6D,Q28WDA6E,Q28WEA6E,Q28WDA7,Q28WEA7,Q28WDA7A,Q28WEA7A,Q28WDA7B,Q28WEA7B,Q28WDA8,Q28WEA8,Q28WDA8A,Q28WEA8A,Q28WDA8B,Q28WEA8B,Q28WDA8C,Q28WEA8C,Q28WDA8D,Q28WEA8D,Q28WDA8E,Q28WEA8E,Q28WDA9,Q28WEA9,Q28WDA9A,Q28WEA9A,Q28WDA9B,Q28WEA9B
2,188,4,1,1,5,7,11,25,2002,11,25,2002,1,1,5,5,5,5,1,1,2,2,4,3,11,21,2002,11,23,2002,11,23,2002,11,23,2002,20,20,5,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,1,5,23400,0,59400,0,5,9,0,0,0,0,5,5,0,0,0,0
2,190,3,1,1,5,1,11,2,2002,11,2,2002,1,1,1,5,5,1,5,1,1,1,5,1,10,31,2002,11,3,2002,10,31,2002,11,4,2002,20,10,5,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,1,5,27900,0,57600,0,5,9,0,0,0,0,5,5,0,0,0,0
2,190,4,1,1,5,1,11,2,2002,11,3,2002,1,1,1,5,5,5,5,1,1,1,5,1,10,31,2002,11,3,2002,10,31,2002,11,4,2002,20,20,5,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,1,5,27600,0,57600,0,5,9,0,0,0,0,5,5,0,0,0,0
2,216,3,1,1,2,7,2,10,2003,2,10,2003,1,1,1,1,5,5,5,1,1,1,2,5,2,3,2003,2,8,2003,2,3,2003,2,8,2003,60,20,1,5,23400,0,54000,0,5,0,0,0,0,0,5,5,0,0,0,0,1,5,27000,0,57600,0,5,9,0,0,0,0,5,5,0,0,0,0
2,218,3,1,1,2,7,11,11,2002,11,18,2002,1,1,1,1,5,5,5,1,1,1,5,4,11,11,2002,11,16,2002,11,11,2002,11,17,2002,17,20,5,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,0,9,9,0,0,0,0,5,5,0,0,0,0
2,218,5,1,1,2,7,11,11,2002,11,18,2002,1,1,1,1,5,5,5,1,1,1,5,4,11,11,2002,11,16,2002,11,11,2002,11,17,2002,18,20,5,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,0,9,9,0,0,0,0,5,5,0,0,0,0
2,226,3,1,1,5,7,99,99,9999,12,14,2002,5,5,5,5,5,5,5,5,1,5,1,1,12,12,2002,12,7,2002,12,12,2002,12,7,2002,60,80,1,5,99999,0,99999,0,5,0,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,0,9,9,0,0,0,0,5,5,0,0,0,0
2,235,3,1,1,4,1,1,10,2003,1,10,2003,5,5,1,1,5,5,1,1,1,1,1,2,12,8,2002,12,5,2002,12,8,2002,12,5,2002,30,30,5,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,1,5,27000,0,65700,0,5,9,0,0,0,0,5,5,0,0,0,0
2,235,4,1,1,4,1,1,10,2003,1,10,2003,5,5,1,1,5,5,1,5,2,3,4,2,11,27,2002,12,5,2002,11,27,2002,1,10,2003,999,33,5,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,1,5,23400,0,61200,0,5,9,0,0,0,0,5,5,0,0,0,0
2,243,3,1,1,3,7,12,10,2002,12,10,2002,5,5,1,1,5,5,1,5,3,3,1,1,12,3,2002,12,7,2002,12,10,2002,12,10,2002,15,20,1,1,28800,30600,36000,45000,5,5,0,0,0,0,5,5,0,0,0,0,1,1,25200,30600,54000,72000,1,5,54000,0,68400,0,5,5,0,0,0,0
